model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_maha,fpr95_maha,oscr_maha,auroc_knnfeat,fpr95_knnfeat,oscr_knnfeat,ece,nll,brier,aurc,start,weeks_since
student_direct_s1,test_w41-44,ge5,far,,95403,82990,0.8853704810121275,0.8183038380598887,0.7058810672032545,0.8931678515483793,0.6409154941338725,0.7676284703089618,0.7670683214845162,0.7009588848529448,0.04695626245787474,0.5298236608505249,0.16950167412752268,0.016080898818943357,24,15.5
student_direct_s1,test_w45-48,all,all,,100000,100000,0.85177,0.7804903249584476,0.6771862016,0.90503,0.5944733293,0.73937250845,0.81565,0.6531020456000001,0.06170894805237651,0.7452746033668518,0.21687330740949765,0.02431207271394259,24,19.5
student_direct_s1,test_w45-48,all,near,,100000,10212,0.85177,0.7804903249584476,0.7178093399921661,0.872111241676459,0.6283320407363886,0.8072303691735214,0.7926948687818253,0.7103474245985116,0.06170894805237651,0.7452746033668518,0.21687330740949765,0.02431207271394259,24,19.5
student_direct_s1,test_w45-48,all,far,,100000,89788,0.85177,0.7804903249584476,0.6725659462288948,0.9087740009800864,0.5906224231523145,0.7316547235153918,0.8182607920880296,0.6465912667617054,0.06170894805237651,0.7452746033668518,0.21687330740949765,0.02431207271394259,24,19.5
student_direct_s1,test_w45-48,ge5,all,,95040,92738,0.8622369528619529,0.7885474563771239,0.6848679910341526,0.9039660117751084,0.6082579151790937,0.7498669196144374,0.809376954430762,0.6724429815644785,0.05763331297659616,0.6947294473648071,0.2028841141649512,0.021418315732907554,24,19.5
student_direct_s1,test_w45-48,ge5,near,,95040,9889,0.8622369528619529,0.7885474563771239,0.7191406722149529,0.8746081504702194,0.637271774355276,0.8130170013411494,0.7950247750025281,0.726442325043675,0.05763331297659616,0.6947294473648071,0.2028841141649512,0.021418315732907554,24,19.5
student_direct_s1,test_w45-48,ge5,far,,95040,82849,0.8622369528619529,0.7885474563771239,0.6807771445037548,0.9074702169006265,0.6047947707429112,0.7423292165860913,0.8110900554019964,0.6659975264875823,0.05763331297659616,0.6947294473648071,0.2028841141649512,0.021418315732907554,24,19.5
student_direct_s1,test_w49-51,all,all,,100000,100000,0.83392,0.7626202256337968,0.67118715715,0.91244,0.5844844811999999,0.7348752634500001,0.8291,0.6420709105,0.07281346227876838,0.9096489548683167,0.24539295164978714,0.029381252676301827,24,23.0
student_direct_s1,test_w49-51,all,near,,100000,12082,0.83392,0.7626202256337968,0.7056680847541797,0.8850355901340837,0.6125287543453072,0.8062694938751862,0.8115378248634332,0.7013318498592949,0.07281346227876838,0.9096489548683167,0.24539295164978714,0.029381252676301827,24,23.0
student_direct_s1,test_w49-51,all,far,,100000,87918,0.83392,0.7626202256337968,0.6664486671102618,0.9162060101458177,0.5806305387975159,0.7250640178348007,0.8315134557201028,0.6339270643099251,0.07281346227876838,0.9096489548683167,0.24539295164978714,0.029381252676301827,24,23.0
student_direct_s1,test_w49-51,ge5,all,,94427,93681,0.845722092198206,0.7713028733469531,0.6740420126496436,0.9131414054077134,0.5949484243216396,0.7403820168538435,0.8267311407862854,0.6587665637635381,0.06769253015082645,0.8558191657066345,0.22971894152236869,0.02574354470139199,24,23.0
